Dataset: Fashion Product Images (Small), Param Aggarwal (Kaggle)
https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small
Mirror en Hugging Face: https://huggingface.co/datasets/ashraq/fashion-product-images-small
Aviso: no es una licencia libre explicita (origen e-commerce Myntra via Kaggle) -- uso apropiado para prototipo de investigacion academica, revisar antes de cualquier otro uso.

flip_flops_1.jpg: Fila Men Cush Flex Black Slippers (articleType=Flip Flops, usage=Casual, gender=Men, color=Black, id_dataset=18653)
sunglasses_22.jpg: Fastrack Men Revo Coated Sporty Wrap Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Grey, id_dataset=40175)
sunglasses_23.jpg: Park Avenue Men Black Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=30666)
sunglasses_24.jpg: Ray-Ban Men High Street Black Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=28209)
sunglasses_25.jpg: United Colors of Benetton Women Casual Olive Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=Olive, id_dataset=20858)
sunglasses_26.jpg: Fastrack Men Revo Coated Sporty Wrap Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Grey, id_dataset=40181)
sunglasses_27.jpg: Louis Philippe Men Aviator Sunglasses LP201-C1 (articleType=Sunglasses, usage=Casual, gender=Men, color=Brown, id_dataset=21324)
sunglasses_28.jpg: Polaroid Women Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=Silver, id_dataset=38209)
sunglasses_29.jpg: United Colors of Benetton Men Funky Eyewear Blue Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Blue, id_dataset=17222)
sunglasses_30.jpg: Speedo Men Sheet Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Brown, id_dataset=30269)
sunglasses_31.jpg: Fastrack Men Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=28296)
sunglasses_32.jpg: Polaroid Unisex Sunglasses (articleType=Sunglasses, usage=Casual, gender=Unisex, color=Black, id_dataset=38236)
sunglasses_33.jpg: M tv Men My Fab Eyewear Brown Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Brown, id_dataset=16109)
sunglasses_34.jpg: Miami Blues Women Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=Black, id_dataset=58549)
sunglasses_35.jpg: United Colors of Benetton Men Funky Eyewear Blue Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Blue, id_dataset=17225)
sunglasses_36.jpg: Fastrack Women Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=Blue, id_dataset=9408)
sunglasses_37.jpg: Louis Philippe Men Sunglasses LP045-C5 (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=21323)
sunglasses_38.jpg: Polaroid Women Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=Black, id_dataset=38231)
sunglasses_39.jpg: Fastrack Men Black Sunglasses (articleType=Sunglasses, usage=Casual, gender=Men, color=Black, id_dataset=28291)
sunglasses_40.jpg: M tv Women My Fab Eyewear Black Sunglasses (articleType=Sunglasses, usage=Casual, gender=Women, color=Black, id_dataset=16107)
