Dataset: Fashion Product Images (Small), Param Aggarwal (Kaggle)
https://www.kaggle.com/datasets/paramaggarwal/fashion-product-images-small
Mirror en Hugging Face: https://huggingface.co/datasets/ashraq/fashion-product-images-small
Aviso: no es una licencia libre explicita (origen e-commerce Myntra via Kaggle) -- uso apropiado para prototipo de investigacion academica, revisar antes de cualquier otro uso.

tshirts_1.jpg: Puma Men Grey T-shirt (articleType=Tshirts, usage=Casual, gender=Men, color=Grey, id_dataset=53759)
casual_shoes_1.jpg: Puma Men Future Cat Remix SF Black Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=9204)
casual_shoes_2.jpg: Gas Men Europa White Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=White, id_dataset=39988)
casual_shoes_3.jpg: Timberland Men Black Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=22198)
casual_shoes_4.jpg: Vans Men Classic Slip-On Purple & Black Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Purple, id_dataset=29570)
casual_shoes_5.jpg: ID Men Red Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Red, id_dataset=26538)
casual_shoes_6.jpg: Vans Men Khaki Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Khaki, id_dataset=49495)
casual_shoes_7.jpg: Nike Men Air Rift MTR White Casual Shoe (articleType=Casual Shoes, usage=Casual, gender=Men, color=White, id_dataset=19311)
casual_shoes_8.jpg: Vans Men Blue Era Scilla Plaid Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Blue, id_dataset=49461)
casual_shoes_9.jpg: ADIDAS Men Black Anzo Breeze Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=23849)
casual_shoes_10.jpg: Numero Uno Men White Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=White, id_dataset=24250)
casual_shoes_11.jpg: Rockport Men LLandro Red Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Red, id_dataset=15517)
casual_shoes_12.jpg: Skechers Women Green Shoe (articleType=Casual Shoes, usage=Casual, gender=Women, color=Green, id_dataset=4140)
casual_shoes_13.jpg: Lotto Unisex Canvas Black Check Shoe (articleType=Casual Shoes, usage=Casual, gender=Unisex, color=Black, id_dataset=6425)
casual_shoes_14.jpg: Vans Unisex Black & Grey Classic Shoes (articleType=Casual Shoes, usage=Casual, gender=Unisex, color=Black, id_dataset=42270)
casual_shoes_15.jpg: FILA Men Liga II Black Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=32751)
casual_shoes_16.jpg: GAS Men Brown Count Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Brown, id_dataset=39943)
casual_shoes_17.jpg: Nike Men White Capri II Casual Shoe (articleType=Casual Shoes, usage=Casual, gender=Men, color=White, id_dataset=22705)
casual_shoes_18.jpg: Red Chief Men Black Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=50741)
casual_shoes_19.jpg: United Colors of Benetton Men Casual Black Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=20856)
casual_shoes_20.jpg: ADIDAS Men Vigor Blue Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Blue, id_dataset=19772)
casual_shoes_21.jpg: Puma Men Cavallino Black Shoe (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=5896)
casual_shoes_22.jpg: Vans Men Maroon & Grey Era Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Maroon, id_dataset=49492)
casual_shoes_23.jpg: Buckaroo Men loma Tan Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Tan, id_dataset=9031)
casual_shoes_24.jpg: Carlton London Women Blue & Cream Shoes (articleType=Casual Shoes, usage=Casual, gender=Women, color=Blue, id_dataset=59056)
casual_shoes_25.jpg: Fila Men Lobato Black Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=15379)
casual_shoes_26.jpg: Puma Men Standpunkt Brown Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Brown, id_dataset=19329)
casual_shoes_27.jpg: GAS Men Grey Namib Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Grey, id_dataset=39944)
casual_shoes_28.jpg: Nike Men Dunk High Grey Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Grey, id_dataset=36130)
casual_shoes_29.jpg: Converse Unisex Black Shoes (articleType=Casual Shoes, usage=Casual, gender=Unisex, color=Black, id_dataset=44510)
casual_shoes_30.jpg: Nike Women Beige Dunk High Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Women, color=Beige, id_dataset=22702)
casual_shoes_31.jpg: Numero Uno Men White Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=White, id_dataset=30233)
casual_shoes_32.jpg: Lotto Unisex Canvas Black Grey Shoe (articleType=Casual Shoes, usage=Casual, gender=Unisex, color=Black, id_dataset=6422)
casual_shoes_33.jpg: Red Tape Men Casual Black Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Black, id_dataset=12507)
casual_shoes_34.jpg: Nike Men Wardour Chukka Yellow Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Yellow, id_dataset=42045)
casual_shoes_35.jpg: Numero Uno Men Navy Blue Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Navy Blue, id_dataset=24257)
casual_shoes_36.jpg: Rockport Men CV Toe HI Charcoal Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Charcoal, id_dataset=15510)
casual_shoes_37.jpg: Basics Men Red Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Red, id_dataset=20894)
casual_shoes_38.jpg: Buckaroo Men Brown Casual Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=Brown, id_dataset=40971)
casual_shoes_39.jpg: Red Tape Men's Brown casual Shoe (articleType=Casual Shoes, usage=Casual, gender=Men, color=Brown, id_dataset=7364)
casual_shoes_40.jpg: Numero Uno Men White Shoes (articleType=Casual Shoes, usage=Casual, gender=Men, color=White, id_dataset=13073)
capris_1.jpg: Gini and Jony Girls Black Capris (articleType=Capris, usage=Casual, gender=Girls, color=Black, id_dataset=47154)
capris_2.jpg: Do u speak Green Girls Olive 3/4 Pant (articleType=Capris, usage=Casual, gender=Girls, color=Olive, id_dataset=54923)
capris_3.jpg: Puma Women Essential Skinny Black 3/4 Pant (articleType=Capris, usage=Sports, gender=Women, color=Black, id_dataset=18002)
capris_4.jpg: Gini and Jony Girls Pink Capris (articleType=Capris, usage=Casual, gender=Girls, color=Pink, id_dataset=47153)
capris_5.jpg: Urban Yoga Women Blue Capris (articleType=Capris, usage=Sports, gender=Women, color=Blue, id_dataset=28458)
capris_6.jpg: Jockey Women Blue Relaxed Capris (articleType=Capris, usage=Casual, gender=Women, color=Blue, id_dataset=27417)
capris_7.jpg: Urban Yoga Women Yoga Red Capri (articleType=Capris, usage=Casual, gender=Women, color=Red, id_dataset=3909)
capris_8.jpg: Palm Tree Boys Washed Blue 3/4 Length Pants (articleType=Capris, usage=Casual, gender=Boys, color=Blue, id_dataset=34054)
capris_9.jpg: Gini and Jony Boys Yellow 3/4 Length Pants (articleType=Capris, usage=Casual, gender=Boys, color=Yellow, id_dataset=34053)
capris_10.jpg: ADIDAS Women 3S Blue Capri (articleType=Capris, usage=Sports, gender=Women, color=Blue, id_dataset=4773)
